Name,DISTRICT,terms,party
W. Ted Alexander,44,2,Republican
Deanna Ballard,45,3,Republican
Lisa S. Barnes,11,1,Republican
Ernestine Bazemore,3,1,Democrat
Phil Berger,30,11,Republican
Dan Blue,14,6,Democrat
"Danny Earl Britt, Jr.",13,3,Republican
Jim Burgin,12,2,Republican
Jay J. Chaudhuri,15,3,Democrat
Ben Clark,21,5,Democrat
Kevin Corbin,50,1,Republican
"David W. Craven, Jr.",26,1,Republican
Sarah Crawford,18,1,Democrat
Warren Daniel,46,6,Republican
Don Davis,5,6,Democrat
Kirk deViere,19,2,Democrat
Chuck Edwards,48,3,Republican
"Milton F. ""Toby"" Fitch, Jr.",4,2,Democrat
Carl Ford,33,2,Republican
Valerie P. Foushee,23,4,Democrat
Amy S. Galey,24,1,Republican
Michael Garrett,27,2,Democrat
Kathy Harrington,43,6,Republican
Ralph Hise,47,6,Republican
Brent Jackson,10,6,Republican
Jeff Jackson,37,4,Democrat
Steve Jarvis,29,1,Republican
Todd Johnson,35,2,Republican
Joyce Krawiec,31,4,Republican
Michael A. Lazzara,6,1,Republican
Michael V. Lee,9,3,Republican
"Paul A. Lowe, Jr.",32,3,Democrat
Natasha R. Marcus,41,2,Democrat
Julie Mayfield,49,1,Democrat
Tom McInnis,25,4,Republican
Mujtaba A. Mohammed,38,2,Democrat
Natalie S. Murdock,20,1,Democrat
Paul Newton,36,3,Republican
Wiley Nickel,16,2,Democrat
Jim Perry,7,1,Republican
Dean Proctor,42,1,Republican
Bill Rabon,8,6,Republican
Gladys A. Robinson,28,6,Democrat
DeAndrea Salvador,39,1,Democrat
Norman W. Sanderson,2,5,Republican
Vickie Sawyer,34,2,Republican
Bob Steinburg,1,2,Republican
Joyce Waddell,40,4,Democrat
Mike Woodard,22,5,Democrat
